province,city,update_time,nowConfirm,confirm,dead,showRate,heal,showHeal,wzz,provinceLocalConfirm,grade
香港,地区待确认,2022-04-19 08:04:23,233805,309841,9159,False,66877,True,0,0,
上海,浦东,2022-04-19 08:04:23,6269,8788,1,False,2518,True,0,0,点击查看详情
上海,闵行,2022-04-19 08:04:23,2651,3099,0,False,448,True,0,0,点击查看详情
上海,地区待确认,2022-04-19 08:04:23,1866,3084,10,False,1208,True,0,0,
上海,黄浦,2022-04-19 08:04:23,1531,1650,0,False,119,True,0,0,点击查看详情
上海,徐汇,2022-04-19 08:04:23,1519,1695,1,False,175,True,0,0,点击查看详情
上海,松江,2022-04-19 08:04:23,1323,1471,0,False,148,True,0,0,点击查看详情
上海,虹口,2022-04-19 08:04:23,1213,1268,0,False,55,True,0,0,点击查看详情
上海,长宁,2022-04-19 08:04:23,866,1024,0,False,158,True,0,0,点击查看详情
上海,嘉定,2022-04-19 08:04:23,859,1352,2,False,491,True,0,0,点击查看详情
上海,普陀,2022-04-19 08:04:23,858,942,0,False,84,True,0,0,点击查看详情
上海,杨浦,2022-04-19 08:04:23,770,828,0,False,58,True,0,0,点击查看详情
上海,静安,2022-04-19 08:04:23,769,879,1,False,109,True,0,0,点击查看详情
上海,青浦,2022-04-19 08:04:23,517,561,0,False,44,True,0,0,点击查看详情
上海,宝山,2022-04-19 08:04:23,356,615,1,False,258,True,0,0,点击查看详情
上海,崇明,2022-04-19 08:04:23,156,169,0,False,13,True,0,0,点击查看详情
上海,奉贤,2022-04-19 08:04:23,141,187,0,False,46,True,0,0,点击查看详情
上海,金山,2022-04-19 08:04:23,53,279,0,False,226,True,0,0,点击查看详情
上海,境外输入,2022-04-19 08:04:23,25,4577,0,False,4552,True,0,0,
上海,境外来沪,2022-04-19 08:04:23,0,1,0,False,1,True,0,0,
上海,外地来沪,2022-04-19 08:04:23,0,113,1,False,112,True,0,0,全部低风险
台湾,地区待确认,2022-04-19 08:04:23,21387,35983,854,False,13742,True,0,0,
吉林,长春,2022-04-19 08:04:23,4746,24337,0,False,19591,True,0,0,点击查看详情
吉林,吉林,2022-04-19 08:04:23,2458,14066,1,False,11607,True,0,0,点击查看详情
吉林,白城,2022-04-19 08:04:23,68,114,0,False,46,True,0,0,点击查看详情
吉林,四平,2022-04-19 08:04:23,58,244,1,False,185,True,0,0,点击查看详情
吉林,境外输入,2022-04-19 08:04:23,38,73,0,False,35,True,0,0,
吉林,延边,2022-04-19 08:04:23,20,142,0,False,122,True,0,0,点击查看详情
吉林,松原,2022-04-19 08:04:23,3,18,0,False,15,True,0,0,点击查看详情
吉林,白山,2022-04-19 08:04:23,3,11,0,False,8,True,0,0,点击查看详情
吉林,辽源,2022-04-19 08:04:23,2,9,0,False,7,True,0,0,点击查看详情
吉林,通化,2022-04-19 08:04:23,0,313,1,False,312,True,0,0,点击查看详情
吉林,公主岭,2022-04-19 08:04:23,0,6,0,False,6,True,0,0,
吉林,梅河口市,2022-04-19 08:04:23,0,1,0,False,1,True,0,0,
吉林,待确认,2022-04-19 08:04:23,-2,0,2,False,0,True,0,0,点击查看详情
浙江,境外输入,2022-04-19 08:04:23,216,590,0,False,374,True,0,0,
浙江,嘉兴,2022-04-19 08:04:23,120,166,0,False,46,True,0,0,点击查看详情
浙江,杭州,2022-04-19 08:04:23,95,423,0,False,328,True,0,0,点击查看详情
浙江,衢州,2022-04-19 08:04:23,90,112,0,False,22,True,0,0,点击查看详情
浙江,宁波,2022-04-19 08:04:23,57,326,0,False,269,True,0,0,点击查看详情
浙江,金华,2022-04-19 08:04:23,49,106,0,False,57,True,0,0,点击查看详情
浙江,湖州,2022-04-19 08:04:23,24,34,0,False,10,True,0,0,点击查看详情
浙江,绍兴,2022-04-19 08:04:23,14,443,0,False,429,True,0,0,点击查看详情
浙江,温州,2022-04-19 08:04:23,7,511,1,False,503,True,0,0,点击查看详情
浙江,舟山,2022-04-19 08:04:23,4,14,0,False,10,True,0,0,点击查看详情
浙江,丽水,2022-04-19 08:04:23,4,21,0,False,17,True,0,0,点击查看详情
浙江,台州,2022-04-19 08:04:23,2,149,0,False,147,True,0,0,点击查看详情
浙江,省十里丰监狱,2022-04-19 08:04:23,0,36,0,False,36,True,0,0,
浙江,地区待确认,2022-04-19 08:04:23,-94,0,0,False,94,True,0,0,
广东,深圳,2022-04-19 08:04:23,602,1383,3,False,778,True,0,0,点击查看详情
广东,东莞,2022-04-19 08:04:23,220,348,1,False,127,True,0,0,点击查看详情
广东,广州,2022-04-19 08:04:23,219,745,1,False,525,True,0,0,点击查看详情
广东,境外输入,2022-04-19 08:04:23,31,3811,0,False,3780,True,0,0,
广东,珠海,2022-04-19 08:04:23,30,146,1,False,115,True,0,0,点击查看详情
广东,中山,2022-04-19 08:04:23,11,82,0,False,71,True,0,0,点击查看详情
广东,惠州,2022-04-19 08:04:23,8,70,0,False,62,True,0,0,点击查看详情
广东,肇庆,2022-04-19 08:04:23,8,27,1,False,18,True,0,0,点击查看详情
广东,茂名,2022-04-19 08:04:23,7,21,0,False,14,True,0,0,点击查看详情
广东,云浮,2022-04-19 08:04:23,7,7,0,False,0,True,0,0,点击查看详情
广东,佛山,2022-04-19 08:04:23,4,105,0,False,101,True,0,0,点击查看详情
广东,湛江,2022-04-19 08:04:23,3,26,0,False,23,True,0,0,点击查看详情
广东,汕尾,2022-04-19 08:04:23,2,8,0,False,6,True,0,0,
广东,韶关,2022-04-19 08:04:23,2,12,1,False,9,True,0,0,点击查看详情
广东,河源,2022-04-19 08:04:23,2,7,0,False,5,True,0,0,
广东,汕头,2022-04-19 08:04:23,1,26,0,False,25,True,0,0,点击查看详情
广东,梅州,2022-04-19 08:04:23,1,18,0,False,17,True,0,0,
广东,阳江,2022-04-19 08:04:23,1,15,0,False,14,True,0,0,点击查看详情
广东,潮州,2022-04-19 08:04:23,0,5,0,False,5,True,0,0,
广东,揭阳,2022-04-19 08:04:23,0,10,0,False,10,True,0,0,
广东,江门,2022-04-19 08:04:23,0,23,0,False,23,True,0,0,
广东,清远,2022-04-19 08:04:23,0,12,0,False,12,True,0,0,
广东,地区待确认,2022-04-19 08:04:23,-881,0,0,False,881,True,0,0,
福建,泉州,2022-04-19 08:04:23,184,1187,0,False,1003,True,0,0,点击查看详情
福建,莆田,2022-04-19 08:04:23,47,322,0,False,275,True,0,0,点击查看详情
福建,宁德,2022-04-19 08:04:23,45,71,0,False,26,True,0,0,点击查看详情
福建,境外输入,2022-04-19 08:04:23,38,936,0,False,898,True,0,0,
福建,厦门,2022-04-19 08:04:23,26,311,0,False,285,True,0,0,点击查看详情
福建,漳州,2022-04-19 08:04:23,17,40,0,False,23,True,0,0,点击查看详情
福建,福州,2022-04-19 08:04:23,2,74,1,False,71,True,0,0,点击查看详情
福建,南平,2022-04-19 08:04:23,1,21,0,False,20,True,0,0,
福建,三明,2022-04-19 08:04:23,1,15,0,False,14,True,0,0,点击查看详情
福建,龙岩,2022-04-19 08:04:23,0,6,0,False,6,True,0,0,
福建,地区待确认,2022-04-19 08:04:23,-210,0,0,False,210,True,0,0,
黑龙江,哈尔滨,2022-04-19 08:04:23,108,977,4,False,865,True,0,0,点击查看详情
黑龙江,牡丹江,2022-04-19 08:04:23,18,94,0,False,76,True,0,0,点击查看详情
黑龙江,佳木斯,2022-04-19 08:04:23,2,56,0,False,54,True,0,0,点击查看详情
黑龙江,大庆,2022-04-19 08:04:23,2,37,1,False,34,True,0,0,点击查看详情
黑龙江,境外输入,2022-04-19 08:04:23,1,431,0,False,430,True,0,0,
黑龙江,黑河,2022-04-19 08:04:23,1,297,0,False,296,True,0,0,点击查看详情
黑龙江,七台河,2022-04-19 08:04:23,0,18,0,False,18,True,0,0,
黑龙江,绥化,2022-04-19 08:04:23,0,539,4,False,535,True,0,0,点击查看详情
黑龙江,鸡西,2022-04-19 08:04:23,0,52,0,False,52,True,0,0,部分中风险
黑龙江,齐齐哈尔,2022-04-19 08:04:23,0,45,1,False,44,True,0,0,全部低风险
